Date,Longitude,Latitude,Depth,Magnitude
2016-01-01,10.66556848187206,-30.223271977719733,31.114133933676854,5.961188605283472
2016-01-01,10.66556848187206,-30.223271977719733,31.114133933676854,5.961188605283472
2016-01-02,39.95398943655552,-3.3862520388198343,233.26225122577648,5.960130002153266
2016-01-03,109.59159301533487,39.70356074454654,294.3162158912049,6.243086234580331
2016-01-05,43.17054060383276,-3.518017216714334,98.54509662643873,5.818832606712559
2016-01-05,43.17054060383276,-3.518017216714334,98.54509662643873,5.818832606712559
2016-01-05,43.17054060383276,-3.518017216714334,98.54509662643873,5.818832606712559
2016-01-08,-83.81826946438534,-35.210974751353966,17.871764899316037,5.734211373210152
2016-01-10,-149.76799517082134,-58.78067566066942,7.351935039982266,5.596105475812287
2016-01-11,87.43182612469627,11.584079652081751,104.38154270381675,6.097042738601063
2016-01-11,87.43182612469627,11.584079652081751,104.38154270381675,6.097042738601063
2016-01-12,79.09399264926287,7.83871419298511,118.1579073061761,6.0590701660981585
2016-01-12,79.09399264926287,7.83871419298511,118.1579073061761,6.0590701660981585
2016-01-13,-42.6715061671908,-8.53545714697477,165.23121503897607,5.825122053700119
2016-01-14,23.49275889926742,-6.71941815148662,143.61867515308813,5.898544804995335
2016-01-14,23.49275889926742,-6.71941815148662,143.61867515308813,5.898544804995335
2016-01-14,23.49275889926742,-6.71941815148662,143.61867515308813,5.898544804995335
2016-01-14,23.49275889926742,-6.71941815148662,143.61867515308813,5.898544804995335
2016-01-14,23.49275889926742,-6.71941815148662,143.61867515308813,5.898544804995335
2016-01-16,130.4001172039482,-3.1662459749853498,-9.520957832414103,5.595115531222719
2016-01-18,173.9293301486937,-23.181736791888728,13.62549777051943,5.7935956190781095
2016-01-19,125.7661274759256,7.634255437717766,23.63663807299716,5.694863903475401
2016-01-20,101.63851633099432,30.606520188784508,22.499189654527207,5.745503689591159
2016-01-21,-80.72588266156822,-0.48309721366119884,54.09042218484366,5.989264177976976
2016-01-21,-80.72588266156822,-0.48309721366119884,54.09042218484366,5.989264177976976
2016-01-22,-0.7977566359806438,-8.256453513637517,61.16960235198163,5.894859377606782
2016-01-24,-233.71337662425285,70.7992053550125,133.95737057690417,7.076715488200654
2016-01-25,30.602404592019788,-0.24916201748625189,46.58314249880572,6.1329057911290095
2016-01-25,30.602404592019788,-0.24916201748625189,46.58314249880572,6.1329057911290095
2016-01-25,30.602404592019788,-0.24916201748625189,46.58314249880572,6.1329057911290095
2016-01-26,55.79017342878773,3.8953382117840936,39.83419235369362,5.8100754226959825
2016-01-26,55.79017342878773,3.8953382117840936,39.83419235369362,5.8100754226959825
2016-01-27,80.91814828871776,-1.2841741366945394,28.170894506850903,5.758488427628602
2016-01-30,157.3306407139751,27.98411483574657,88.52133297921313,6.376582592224215
2016-01-30,157.3306407139751,27.98411483574657,88.52133297921313,6.376582592224215
2016-01-31,131.2708698950207,-12.746449465337575,42.020977735194535,6.093293226674515
2016-01-31,131.2708698950207,-12.746449465337575,42.020977735194535,6.093293226674515
2016-02-01,22.403930064741054,-30.842698783053137,152.20710191654786,5.991317154156747
2016-02-02,-23.228355742026064,7.669375333743703,293.90831564317546,5.951444661526481
2016-02-05,144.27671858487102,28.88076008591631,36.024251487654894,6.427851514864019
2016-02-06,135.30069215004795,-4.2768566962301655,26.443051998801124,6.018588255889214
2016-02-07,-30.109753499936872,-15.577161930747701,36.3722742232797,5.742666136423944
2016-02-08,13.112010246435933,-6.339373837531312,43.70383879605007,6.095127862265216
2016-02-10,-131.4122122484872,-33.18142741388974,32.32098590665947,6.278584580859824
2016-02-12,151.01044615611426,-4.7653851318528915,34.57818849458478,6.28580245529147
2016-02-14,154.61510609947985,-5.222216039849325,233.1605108613095,5.745007794425933
2016-02-14,154.61510609947985,-5.222216039849325,233.1605108613095,5.745007794425933
2016-02-15,45.589170436779,-22.506857798736892,62.271086873721195,5.846686953687283
2016-02-15,45.589170436779,-22.506857798736892,62.271086873721195,5.846686953687283
2016-02-16,-60.52622911485962,-33.58114700707545,18.020975710634332,5.9185704985966945
2016-02-16,-60.52622911485962,-33.58114700707545,18.020975710634332,5.9185704985966945
2016-02-17,6.021766208148392,-17.546974499939278,38.20305564503975,5.928201985096977
2016-02-18,59.81689782548677,-28.108725202498132,64.32429431496507,5.792619638918438
2016-02-20,-180.94776294957032,-9.177546504647172,623.1805534945405,5.809691079361162
2016-02-21,24.629345811454485,1.1808011212914176,64.30387446904265,5.64175120795076
2016-02-21,24.629345811454485,1.1808011212914176,64.30387446904265,5.64175120795076
2016-02-22,-1.7954950441554045,-4.197050527655382,36.138586463756376,5.689445123547658
2016-02-23,37.12219311344671,-51.67536773633234,41.76078258544763,5.888519732371279
2016-02-26,184.47140532172037,-79.6705430910817,0.4953095492646211,5.734371449105396
2016-02-27,116.76540169504898,-42.5820393381903,20.368710387890978,5.880762330558219
2016-02-28,121.15554305822883,-15.49522528443272,109.23817818793809,5.796804407465559
2016-03-01,-224.59198408073934,-42.17721765520988,-27.65883650400945,5.597318755274821
2016-03-02,37.38595253066346,-9.184803740695248,48.75561977955916,6.690286241688157
2016-03-03,130.44779086116642,-4.034941967440836,24.596457966353146,6.0796915220008385
2016-03-03,130.44779086116642,-4.034941967440836,24.596457966353146,6.0796915220008385
2016-03-03,130.44779086116642,-4.034941967440836,24.596457966353146,6.0796915220008385
2016-03-03,130.44779086116642,-4.034941967440836,24.596457966353146,6.0796915220008385
2016-03-05,-224.82872336965508,-35.87070782797527,12.972341745753528,5.497588767883217
